"Type","Speaker","Topic","Year"
"Social Movements","Laura Nelson","The Role of Ideational and Socio-Structural Isomorphism for Social Movement Success",2018
"Social Movements","Yang Yang, Adam Pah, Brian Uzzi","A Simple Model of the Shift from Low to High Lethality in Terror Organizations",2018
"Social Movements","Edmond Awad, Sohan Dsouza, Richard Kim, Jonathan Schulz, Joseph Henrich, Azim Shariff, Jean-Francois Bonnefon, Iyad Rahwan","The Moral Machine Experiment: 40 Million Decisions and the Path to Universal Machine Ethics",2018
"Cooperation","Julian Vicens, Nereida Bueno-Guerra, Mario Gutierrez-Roig, Carlos Gracia-Lazaro, Jesus Gomez-Gardeñes, Josep Perello, Angel Sanchez, Yamir Moreno, Jordi Duch","Resource Heterogeneity Leads to Unjust Effort Distribution in Climate Change Mitigation",2018
"Cooperation","Keith Burghardt, Daniel Simmons, Luba Levin-Banchik, Michelle Phillips, Paul Smaldino, Raissa D'Souza, Zeev Maoz","Cooperative Multiplex Network Evolution and Responses to Shocks",2018
"Cooperation","Mohsen Mosleh, David Rand","Thinking Fast and Slow on Networks: Co-Evolution of Cognition and Cooperation in Structured Populations",2018
"Cooperation","Pj Lamberson, John Lang","Optimal Networks for Exploration and Exploitation",2018
"Collective Behavior","Frank Marrs, Bailey Fosdick, Tyler H. McCormick","Inference in Network Regression",2018
"Collective Behavior","Daniel Alexandrov, Ilya Musabirov, Viktor Karepin","Educational Migration from Russia: Social Media Data",2018
"Collective Behavior","Joshua Becker, Damon Centola","Can Individuals Benefit from the Wisdom of Crowds?",2018
"Collective Behavior","Jeremy Foote, Benjamin Mako Hill, Nathan Teblunthuis","An Agent-Based Model of Online Community Joining",2018
"News and Media Consumption","Kokil Jaidka, Saifuddin Ahmed","Can We Predict Elections from Social Media? A Comparison of Computational Methods",2018
"News and Media Consumption","Subhayan Mukerjee, Sandra Gonzalez-Bailon, Silvia Majo-Vazquez","Networks of Audience Overlap in the Consumption of Digital News",2018
"News and Media Consumption","King-Wa Fu, Yun Tai","Tracking Censorship of WeChat Public Accounts in China: a Computational Social Science Approach",2018
"News and Media Consumption","Silvia Majo-Vazquez, Sandra Gonzalez-Bailon, Rasmus K. Nielsen","The Backbone Structure of Audience Networks: A New Approach to Comparing Online News Consumption Across Countries",2018
"News and Media Consumption","Iain Weaver, Hywel Williams","Bipartite Network Analysis of News-Sharing on Social Media During the UK General Election in 2015 General",2018
"News and Media Consumption","Lorien Jasny, Susan Banducci, Iulia Cioroianu, Travis Coan, Iain Weaver, Hywel Williams","Voting Behavior, Beliefs, and Online News Consumption: A comparison of survey responses and clickstream data during Brexit using topic models and network analysis",2018
"Online Platforms and Experiments","Sayamindu Dasgupta, Benjamin Mako Hill","How “Wide Walls” Can Increase Engagement: Evidence from a Natural Experiment in Scratch",2018
"Online Platforms and Experiments","Zsofia Boda, Timon Elmer, Andras Voros, Christoph Stadtfeld","Seeds of Social Structure",2018
"Online Platforms and Experiments","John Paolillo, Sharad Ghule, Brian Harper","A Network History of YouTube",2018
"Online Platforms and Experiments","Joyce Delnoij, Rense Corten, Paolo Parigi","The Impact of Sharing on Trust: An Online Field Experiment Among Airbnb Users",2018
"Online Platforms and Experiments","Rene Kizilcec, David Lang, Ben Stenhaug","Heterogeneous Effects of Cellphone Credit Incentives on Mobile Learning in Africa",2018
"Online Platforms and Experiments","Ruowei Jiang, Ashton Anderson","Individual Goal-Seeking Behavior: A Large-Scale Study",2018
"Scientific Collaboration and Impact","Allison Morgan, Samuel Way, Aaron Clauset","Automatically Assembling a Full Census of an Academic Field",2018
"Scientific Collaboration and Impact","Yang Wang, Benjamin Jones, Dashun Wang","Early Career Failure and Long-Term Scientific Impact",2018
"Scientific Collaboration and Impact","Yifang Ma, Brian Uzzi","The Scientific Prize Network and Trying Out to Be the First in Science",2018
"Scientific Collaboration and Impact","Yuan Tian, Brian Uzzi","Informal Intellectual Collaboration in Scientific Community and Knowledge Production",2018
"Scientific Collaboration and Impact","Yuxiao Dong, Hao Ma, Kuansan Wang","Collaboration Diversity and Scientific Impact",2018
"Scientific Collaboration and Impact","Yuxiao Dong, Hao Ma, Zhihong Shen, Kuansan Wang","A Century of Science",2018
"Teams","Marlon Twyman, Jessica Mesmer Magnus, Alina Lungeanu, Leslie Dechurch, Noshir Contractor","The Emergence and Development of Crew Shared Mental Models: An Agent-Based Model",2018
"Teams","Edward Platt, Daniel Romero","Network Structure, Efficiency, and Performance on WikiProjects",2018
"Teams","Valery Yakubovich, Roman Galperin, Mouna El Mansouri","Timing Is Money: Employment Relationships in a Virtual Call Center",2018
"Teams","Marc Santolini, Abhijeet Krishna, Leo Blondel, Thomas Landrain, Albert-Laszlo Barabasi","Predicting Team Success in the iGEM Scientific Competition",2018
"Teams","Manuel Cebrian, Martin Saveski, Edmond Awad, Iyad Rahwan","Computers Outperform Humans at Judging Group Performance Based on Sparse Visual Cues",2018
"Teams","Lingfei Wu, Jie Tang, Dashun Wang, James Evans","Only Diamond Can Cut Diamond in Science",2018
"Learning","Kristen Altenburger, Johan Ugander","The Network Structure of Attribute Missingness",2018
"Learning","Teun Cuijpers, Maurice Vergeer, Erik Bijleveld","Studying the Effects of Stereotyping and Emotion on Viral Contagion Through a Deep Learning Approach",2018
"Learning","Nazanin Alipourfard, Peter G. Fennell, Kristina Lerman","Using Simpson's Paradox to Discover Interesting Patterns in Behavioral Data",2018
"Learning","Hyunuk Kim, Daniel Kim, Young-Ho Eom, Hawoong Jeong, Woo-Sung Jung, Hyejin Youn","Reconstructing Technology Space from a Secret Recipe of High Impact Innovation",2018
"Learning","Stefano Balietti, Christoph Riedel","The Market Structure for Innovation",2018
"Learning","Katharine Anderson","Skill networks and measures of complex human capital",2018
"Poster","Iain Cruickshank, Kathleen Carley","A Gower Approach to Group Detection",2018
"Poster","Zhiya Zuo, Kang Zhao","A Graphical Model for Topical Impact Over Time",2018
"Poster","Johan Koskinen, Alex Stivala, Garry Robins","A Mixture Model for the Degree Distribution and Local Dependencies",2018
"Poster","Pj Lamberson, Stuart Soroka","A Model of Attentiveness to Outlying News",2018
"Poster","Alice Kathmandu, Jian Song, Yu Zhang, Tingyu Chen, Geoffrey Cohen","Advanced Machine Learning Algorithms Fail to Generalize Across Cultures",2018
"Poster","Jiaying Liu, Wei Wang, Xiangjie Kong, Feng Xia","Advisor-Advisee Relationship Mining and Analysis in Scholarly Big Data",2018
"Poster","Tiffany Tang, Hang Xie","All Underestimated Talent in Society Matter!: Sentiment Analysis on a Chinese Parent Support Forum on Autism",2018
"Poster","Hanyu Shi, Martin Gerlach, Isabel Diersen, Doug Downey, Luis Amaral","An Objective Synthetic Benchmark for the Evaluation of Topic Modeling",2018
"Poster","Thomas Marlo","Analyzing Industrial Neighborhoods in Rhode Island",2018
"Poster","Nicholas Garcia, Natalia Levina","Applying Computational Techniques to Organizational Process Theory",2018
"Poster","Christa Brelsford, Caterina De Bacco","Are `Water Smart Landscapes' Contagious? an Epidemic Approach on Networks to Study Peer Effects",2018
"Poster","Xiaoyan Lu, Boleslaw Szymanski","Asymptotic Resolution Bound of Generalized Modularity and Its Implications",2018
"Poster","Masanori Takano, Takaaki Tsunoda","Bullied-Experience Talks in Online Communications: Support for Bullied Children",2018
"Poster","Donghui Wang","Climate Change Sentiment on Twitter in Alaska: a Spatial-Temporal Analysis",2018
"Poster","Chico Camargo, Scott Hale, Helen Margetts, Peter John","Computational Measures of Political Volatility",2018
"Poster","Nan Zhang, Heng Xu","Confidence Levels for Empirical Research Using Twitter Data",2018
"Poster","Shubhanshu Mishra, Hyejin Lee, Jinseok Kim, Vetle Torvik, Jana Diesner","Construction of Hierarchical Subject Headings for Computer Science and Their Application to Studying Temporal Trends in Scholarly Literature",2018
"Poster","Masoomali Fatehkia, Daniel O’brien, Ingmar Weber","Correlated Impulses: Using Facebook Interests to Improve Predictions of Crime Rates in Urban Areas",2018
"Poster","Xiu-Xiu Zhan, Chuang Liu, Zi-Ke Zhang, Gui-Quan Sun, Jonathan Jh Zhu","Coupling Dynamics of Epidemic Spreading and Information Diffusion on Social Networks",2018
"Poster","Steven Wilson, Yiting Shen, Rada Mihalcea","Crowd-Powered Concept Sorting for Lexicon Creation",2018
"Poster","Alina Lungeanu, Patrick Park, Leslie Dechurch, Noshir Contractor","Deep Space Collaboration: Impact of Latency and Social Networks on Collaborative Work",2018
"Poster","Damien Crone, Edward Slingerland","Describing Moral Concepts with Topic Modelling and Wikipedia",2018
"Poster","Hadar Miller, Osnat Mokryn","Detecting the Effect of External Events on Dynamic Social Networks",2018
"Poster","Miriam McKinney, Jessica Peker","Dialectic and Idiomatic Sensitivity in Text Analysis: The Importance of Constructing Inclusive Algorithms for 311 Data Normalization",2018
"Poster","Nathan Teblunthuis","Discovering Clusters of Opinion in Wiki Surveys with Bayesian Latent Factor Analysis",2018
"Poster","Sanaz Bahargam, Evangelos Papalexakis","Discovering Time-Evolving Topics of Varying Levels of Difficulty Via Constrained Coupled Matrix-Tensor Factorization",2018
"Poster","Mitsuo Yoshida, Fujio Toriumi","Diversity of Political Information Received by Political Detachment Users on Social Media",2018
"Poster","Fredrik Erlandsson, Piotr Brodka, Martin Boldt, Henric Johnson","Do We Really Need to Catch Them All? A New User-Guided Social Media Crawling Method",2018
"Poster","Matthew Oldham","Drafting Agent-Based Modeling Into Basketball Analytics",2018
"Poster","Esteban Moro, Dan Calacci, Xiaowen Dong, Manuel Cebrian, Alex Pentland","Economical Segregation of Encounter Networks in Cities",2018
"Poster","Hiroko Yamano, Masanao Ochi, Ichiro Sakata","Effects of Industrial Concentration and Growth Stage on Mergers and Acquisitions in Japan",2018
"Poster","Jessica Santana","Embracing Failure: A Cultural-Computational Analysis of Failure Narrative Strategies in Entrepreneurship",2018
"Poster","Dong Nguyen, Barbara McGillivray, Taha Yasseri","Emo, Love, and God: Making Sense of Urban Dictionary, a Crowd-Sourced Online Dictionary",2018
"Poster","Deepak Rishi, Meiyappan Nagappan, Tobias Schroeder, Kimberly Rogers, Jesse Hoey","Emotion and Interaction Processes in a Collaborative Online Network",2018
"Poster","Marcin Kulisiewicz, Przemyslaw Kazienko, Boleslaw Szymanski, Radoslaw Michalski","Entropy of Evolving Temporal Social Networks",2018
"Poster","Yunqi Xue, Priya Chakraborty","Epistemic Dynamics of Professional-Social Influence",2018
"Poster","Denis Stukal, Sergey Sanovich, Richard Bonneau, Joshua Tucker","For Whom the Bot Tolls: A Neural Networks Approach to Measuring Political Orientation of Twitter Bots in Russia",2018
"Poster","Chenhao Tan, Dallas Card, Noah Smith","Friendships, Rivalries, and Trysts: Characterizing Relations Between Ideas in Texts",2018
"Poster","Li Zeng, Zack Almquist, Emma Spiro","Gender Differences in Social Exercise in an Online Fitness Community",2018
"Poster","Enrico Forti, Kenny Ching, Evan Rawley","Generalists in Temporary Teams: Evidence From Random Assignment in E-Sports",2018
"Poster","Yifan Qian, Paul Expert, Pietro Panzarasa, Mauricio Barahona","Geometric Deep Learning and Node Classification: An Application of Graph Convolutional Networks to Citation Networks",2018
"Poster","Louis Chauvel, Eyal Bar-Haim, Anne Hartung, Anja Leist","Global Inequalities 1980-2050: A Microdata Oriented Simulation – Worldsim",2018
"Poster","Sylvain Parasie, Jean-Philippe Cointet","Google Trends as a Research Tool to Monitor Public Attention During 2017 French Presidential Elections",2018
"Poster","Marcin Waniek, Tomasz Michalak, Michael Wooldridgeand Talal Rahwan","Hiding Individuals and Communities in a Social Network",2018
"Poster","Jason Jones","Identity Trends: A Method and Dataset Creation Tool for the Longitudinal Study of Self",2018
"Poster","Maximilian Weber","Imagine Your Life One Decade Later. How Do Responses on Individuals’ Ideas on Life Change Between the Age of 11 and 50?",2018
"Poster","Dhaval Adjodah, Dan Calacci, Abhimanyu Dubey, Yan Leng, Peter Krafft, Esteban Moro, Alex Pentland","Improving Deep Reinforcement Learning with Collective Intelligence",2018
"Poster","Jiin Jung, Scott Page, Aaron Bramson","Indirect Minority Influence as a Source of Opinion Diversity",2018
"Poster","Bedoor Alshebli, Anahit Sargsyan, Areg Karapetyan, Talal Rahwan, Wei Lee Woon","Informing Science Using Recommender Systems",2018
"Poster","Nahum Alvarez, Itsuki Noda","Intelligent City Planning from Pedestrian Behavior Simulation",2018
"Poster","Ian Miller, Elizabeth Page-Gould, Cara MacInnis","Intergroup Contact Effects Produced by Simulated Intergroup Interactions",2018
"Poster","Gian-Luca Savino, Miriam Sturdee, Simon Runde, Christine Lohmeier, Brent Hecht, Johannes Schoning","Maprecorder: Analyzing Real World Usage of Mobile Map Applications",2018
"Poster","Nabeel Gillani, Ann Yuan, Martin Saveski, Soroush Vosoughi, Deb Roy","Me, My Echo Chamber, and I: Introspection on Social Media Polarization",2018
"Poster","Yuan Yuan, Tracy Liu, Chenhao Tan, Jie Tang","Online Red Packets: A Large-Scale Empirical Study of Gift Giving on Wechat",2018
"Poster","Osnat Mokryn, Allon Wagner, Marcel Blattner, Eytan Ruppin, Yuval Shavitt","Trendy Is Better Than Rich? The Role of Temporal Trends in Networks",2018
"Poster","Kinga Makovi, Byungkyu Lee","Microfinance Revisited: The Role of Modularity and Tie Multiplexity in Diffusion Processes on Networks",2018
"Poster","Rediet Abebe, Lada Adamic, Jon Kleinberg","Mitigating Overexposure in Viral Marketing",2018
"Poster","Marcin Waniek, Aamena Alshamsi","Mitigating Strategic Attack Diffusion in Security Games",2018
"Poster","Chris Marcum","Modeling Association in Multiple Layer Networks Using the Conway-Maxwell Binomial Distribution in an Exponential Random Graph Framework",2018
"Poster","Hemant Purohit, Bonnie Stabile, Aubrey Grant, Rahul Pandey","Modeling Policy-Relevant Intent Related to Gender Violence Myths on Social Media Using Social Construction Theory",2018
"Poster","Marton Karsai, Hang-Hyun Jo, Kimmo Kaski","Models of Bursty Human Dynamics",2018
"Poster","George Garas, Isabella Cingolani, Pietro Panzarasa, Ara Darzi, Thanos Athanasiou","Network Analysis of Surgical Innovation: Measuring Value and the Virality of Diffusion in Robotic Surgery",2018
"Poster","Suchismita Goswami, Edward Wegman","Network Neighborhood Analysis for Detecting Anomalies Using Scan Statistics of Time Series of Graphs",2018
"Poster","Helge Marahrens, Sam Regas, Patrick Kaminski","Omnivorousness as a Precondition for Specific and Obscure Tastes",2018
"Poster","Andrew Butters, Scott Brave","On the Network Origins of Approximate Factor Models",2018
"Poster","Peter Krafft, Matt Goerzen, Joan Donovan","Platform Filtering: How Rumors Crystallize When Crossing Platform Boundaries",2018
"Poster","Gurpreet Ahitan, Michael Fagan, Federica Nocera","Plug-Or-Not: Identifying Commercial ""Plugs"" Within Twitter",2018
"Poster","Samaneh Saadat, Gita Sukthankar","Predicting the Performance of Software Development Teams on Github",2018
"Poster","Taylor Brown","Qualities and Inequalities Gendered Valuation in the Contemporary Art Market",2018
"Poster","Li Zhang, Steven Wilson, Rada Mihalcea","Relating Human Activities with Phrasal Embeddings",2018
"Poster","Wei Wang, Shuo Yu, Teshome Bekele, Xiangjie Kong, Feng Xia","Scientific Collaboration Patterns Vary with Scholars' Academic Age Kinga Makovi and Byungkyu Lee",2018
"Poster","Youyou Wu, Yang Yang, Brian Uzzi","Scientists Get a Brain Boost: AI Mind + Machine Partnership and the Reproducibility Problem in Science",2018
"Poster","Alix Rule, Jean-Philippe Cointet","Selecting Newspaper Coverage to Achieve Continuous Views of the Social World Over Long Periods of Time",2018
"Poster","Yang Yang, Nitesh Chawla, Brian Uzzi","Sex Differences in Social Networks Predict Placement in Stem Leadership Positions",2018
"Poster","Mary Monroe, George Banks, Ryan Wesslen","She's Got the ""It"" Factor: An Investigation of Charisma and Female Leaders",2018
"Poster","Didem Gundogdu, Pietro Panzarasa, Nuria Oliver, Bruno Lepri","Social Capital and Mobile Phone Data: Evidence From a Developing Country",2018
"Poster","Alexandra Ils, Katia Begall, Daniela Grunow","Social Change in Media Perspective: The Coverage of the 2007 Parental-Leave Reform in Germany",2018
"Poster","Sabine Brunswicker, Satyam Mukherjee","Spatial and Temporal Separation in Coordination Structures in OSS",2018
"Poster","Xiaoyan Lu, Boleslaw Szymanski","Stabilizing Block Model Inference in Sparse Networks",2018
"Poster","Jaroslaw Jankowski, Boleslaw Szymanski, Przemyslaw Kazienko, Radoslaw Michalski, Piotr Brodka","Studying Limits of Information Spread with Sequential Seeding",2018
"Poster","Boroka Papay, Balint Kubik, Julia Galantai, Karoly Takacs","The Content of Informal Communication: Topic Modeling on a Spontaneous Speech Corpus",2018
"Poster","Jingwen Zhang, Cuihua Shen, Jaroslaw Jankowski, Piotr Brodka","The Duet of Persuasion and Social Influence in Decision Cascades",2018
"Poster","Brian Keegan","The Dynamics of Peer-Produced Political Information During the 2016 U.S. Presidential Campaign",2018
"Poster","Samuel Way, Allison Morgan, Daniel Larremore, Aaron Clauset","The Effects of Departmental Prestige on Researcher Productivity and Impact",2018
"Poster","Gabriel Rossman, Jake Fisher","The Fragility of Opinion Leadership",2018
"Poster","Morgan Frank, Esteban Moro, Iyad Rahwan","The Hidden Constraints on Career Mobility: How Skills Determine a Worker's Next Move",2018
"Poster","Jeroen van Den Ochtend, Markus Meierer, Rene Algesheimer","The Impact of Private Information and Social Influence on Consumer Behavior",2018
"Poster","Zhi-Cong Chen, Lingfei Wu, Naipeng Chao, Cheng-Jun Wang","The Poor Read for Entertainment and the Rich Read for Education: Poverty, Fragmentation, and Knowledge Homogeneity",2018
"Poster","Jon Atwell","The Production of New Meaning in a Networked Public: Evidence From an Online Community",2018
"Poster","Yu-Ya Rong","The Relationship Between Work-Family Conflict and Work Stress: Effects of Supervisor Support and Gender",2018
"Poster","Zhiya Zuo, Kang Zhao","The Role of Advisor in Faculty Hiring: A Case Study of U.S. Information Schools",2018
"Poster","Joshua Becker, Damon Centola, Ethan Porter","The Wisdom of Political Crowds: Increasing Accuracy and Reducing Polarization How Echo Chambers",2018
"Poster","Yuan Yuan, Ahmad Alabdulkareem, Alex Pentland","Trade-Off Between Social Exchange and Homophily in Social Network Formation",2018
"Poster","Masanori Takano","Two Types of Social Grooming Methods Depending on the Trade-Off Between the Number and Strength of Social Relationships",2018
"Poster","Andres Abeliuk, Nathan Bartley, Kristina Lerman","Uber's Impact on Flu Infections: an Exploratory Analysis",2018
"Poster","Yang Yang, Chenhao Tan, Zongtao Liu, Fei Wu, Yueting Zhuang","Urban Dreams of Migrants: A Case Study of Migrant Integration in Shanghai",2018
"Poster","Masoomali Fatehkia, Ridhi Kashyap, Ingmar Weber","Using Facebook Ad Data to Track the Global Digital Gender Gap",2018
"Poster","Rezvaneh Rezapour, Yodsawalai Chodpathumwan","Using Linguistic Cues for Analyzing Social Activism",2018
"Poster","Emily Porter, Brian Keegan","Visual Rhetoric and Collective Memory Across Peer-Produced Accounts of Political Crises",2018
"Poster","Lorien Jasny, Susan Banducci, Iulia Cioroianu, Travis Coan, Iain Weaver, Hywell Williams","Voting Behavior, Beliefs, and Online News Consumption: A Comparison of Survey Responses and Clickstream Data During Brexit Using Topic Models and Network Analysis",2018
"Poster","Hirotake Ito, Takanori Nishida, Lav R. Varshney, Yoshiki Ishikawa","Weak Ties in Job Change: Evidence From Business Card Exchange in Japan",2018
"Poster","Subhayan Mukerjee, Sandra Gonzalez-Bailon","What Counts as a Weak Tie? A Comparison of Thresholding Techniques for Analyzing Weighted Networks",2018
"Poster","Igor Zakhlebin, Agnes Horvat","When Everyone Agrees: Similarity of Centrality Indices in Citation Networks",2018
"Poster","King-Wa Fu","“Fake News” Drives Out Real: Analyzing Posts and Links Shared in Virtual Communities of Facebook Public Pages During 2016 US Presidential Election",2018
